game,publisher,min_rtp,max_rtp,
Leprechaun Goes to Hell,Play'n Go,96.5,96.5,
Lost Island,Net Entertainment,96.5,96.5,
Lucky Koi,Microgaming,96.5,96.5,
Lucky Twins,Microgaming,96.5,96.5,
Magic Multiplier,Microgaming,96.5,96.5,
Magnificent 777's,Microgaming,96.5,96.5,
Mayan Princess,Microgaming,96.5,96.5,
Mermaid's Diamond,Play'n Go,96.5,96.5,
Midnight Rush,Sheriff Gaming,96.5,96.5,
Monkey King,Microgaming,96.5,96.5,
Monopoly Megaways,Big Time Gaming,96.5,96.5,
Monsters in the Closet,Microgaming,96.5,96.5,
Moon Princess,Play'n Go,96.5,96.5,
Mount Magmas,Push Gaming,96.5,96.5,
Multiplier Odyssey,Relax Gaming,96.5,96.5,
Murder Mystery,BGO Studios,96.5,96.5,
Mystery Museum,Push Gaming,96.5,96.5,
Nuclear 9s,Microgaming,96.5,96.5,
Pandamonium,Microgaming,96.5,96.5,
Pimped,Play'n Go,96.5,96.5,
Pinocchio,Betsoft,96.5,96.5,
Pop,Big Time Gaming,96.5,96.5,
Private Eye,Microgaming,96.5,96.5,
Pure Platinum,Microgaming,96.5,96.5,
Pyramid: Quest for Immortality,Net Entertainment,96.5,96.5,
Reactoonz,Play'n Go,96.5,96.5,
Red Hot Devil,Microgaming,96.5,96.5,
Reel Classic 5,Playtech,96.5,96.5,
Reel Gems,Microgaming,96.5,96.5,
Retro Reels,Microgaming,96.5,96.5,
Retro Reels - Diamond Glitz,Microgaming,96.5,96.5,
Rise of Olympus,Play'n Go,96.5,96.5,
Riviera Riches,Microgaming,96.5,96.5,
Robo Jack,Microgaming,96.5,96.5,
Robots: Energy Conflict,Evoplay Entertainment,96.5,96.5,
Royal Masquerade,Play'n Go,96.5,96.5,
Royal Mint Megaways,Big Time Gaming,96.5,96.5,
Ruby of the Nile,Microgaming,96.5,96.5,
Rugby Star,Microgaming,96.5,96.5,
Santa Paws,Microgaming,96.5,96.5,
Santas Wild Ride,Microgaming,96.5,96.5,
Sevens High,Quickspin,96.5,96.5,
Shark Wash,Relax Gaming,96.5,96.5,
Shoot!,Microgaming,96.5,96.5,
Slot Vegas Megaquads,Big Time Gaming,96.5,96.5,
So Many Monsters,Microgaming,96.5,96.5,
So Much Candy,Microgaming,96.5,96.5,
So Much Sushi,Microgaming,96.5,96.5,
Soccer Safari,Microgaming,96.5,96.5,
Space Arcade,Nolimit City,96.5,96.5,
Space Miners,Relax Gaming,96.5,96.5,
Spicy Meatballs Megaways,Big Time Gaming,96.5,96.5,
Spin Party,Play'n Go,96.5,96.5,
Spirit of the Beast,Relax Gaming,96.5,96.5,
Star Clusters Megaclusters,Big Time Gaming,96.5,96.5,
Starlight Kiss,Microgaming,96.5,96.5,
Sugar Mama,Microgaming,96.5,96.5,
Sugar Trail,Quickspin,96.5,96.5,
Super Flip,Play'n Go,96.5,96.5,
Tarzan,Microgaming,96.5,96.5,
The Epic Journey,Quickspin,96.5,96.5,
The Evil Bet,Mascot Gaming,96.5,96.5,
The Finer Reels of Life,Microgaming,96.5,96.5,
The Funky 70s,Net Entertainment,96.5,96.5,
The Gee Gees,Microgaming,96.5,96.5,
The Great Pigsby,Relax Gaming,96.5,96.5,
The Groovy 60s,Net Entertainment,96.5,96.5,
The Super 80s,Net Entertainment,96.5,96.5,
Throne of Egypt,Microgaming,96.5,96.5,
Titan Thunder,Quickspin,96.5,96.5,
Tornado: Farm Escape,Net Entertainment,96.5,96.5,
Track And FieldMouse,Microgaming,96.5,96.5,
Treasure Ireland,Microgaming,96.5,96.5,
Wheel of Wonders,Push Gaming,96.5,96.5,
Who wants to be a Stallionaire,Microgaming,96.5,96.5,
Wicked Circus,Yggdrasil Gaming,96.5,96.5,
Wild Flower,Big Time Gaming,96.5,96.5,
Wild Worlds,Net Entertainment,96.5,96.5,
Win Spinner,Microgaming,96.5,96.5,
Wonky Wabbits,Net Entertainment,96.5,96.5,
You Lucky Barstard,Microgaming,96.5,96.5,
Alchemist's Lab,Playtech,96.4,97.3,
Vacation Station,Playtech,96.4,96.9,
Holy Diver,Big Time Gaming,96.4,96.5,
Aloha! Cluster Pays,Net Entertainment,96.4,96.4,
Asian Beauty,Microgaming,96.4,96.4,
Attila The Hun,Relax Gaming,96.4,96.4,
Battle Maidens Cleopatra,1x2 Gaming,96.4,96.4,
Beef Lightning Megaways,Big Time Gaming,96.4,96.4,
Blaze of Ra,Push Gaming,96.4,96.4,
Bonanza Megapays,Big Time Gaming,96.4,96.4,
Boom Brothers,Net Entertainment,96.4,96.4,
Break Away,Microgaming,96.4,96.4,
Butterfly Staxx II,Net Entertainment,96.4,96.4,
Cashanova,Microgaming,96.4,96.4,
Caveman Bob,Relax Gaming,96.4,96.4,
Chain Mail,Microgaming,96.4,96.4,
Champions of Rome,Yggdrasil Gaming,96.4,96.4,
Chip Spin,Relax Gaming,96.4,96.4,
Cleopatra's Gold,Blueprint Gaming,96.4,96.4,
Cluster Tumble,Relax Gaming,96.4,96.4,
Cricket Star,Microgaming,96.4,96.4,
Dance of the Masai,Microgaming,96.4,96.4,
Dino Might,Microgaming,96.4,96.4,
Dinopolis,Push Gaming,96.4,96.4,
Disco Spins,Net Entertainment,96.4,96.4,
Draglings,Yggdrasil Gaming,96.4,96.4,
Dragon Egg,Tom Horn Gaming,96.4,96.4,
Enchanted Woods,Microgaming,96.4,96.4,
Eye of the Kraken,Play'n Go,96.4,96.4,
Fat Rabbit,Push Gaming,96.4,96.4,
Fat Santa,Push Gaming,96.4,96.4,
Football Star,Microgaming,96.4,96.4,
Fruit Case,Net Entertainment,96.4,96.4,
Game of Thrones - 15 lines,Microgaming,96.4,96.4,
Giza Infinity Reels,Yggdrasil Gaming,96.4,96.4,
Golden Fish Tank,Yggdrasil Gaming,96.4,96.4,
Golden Grimoire,Net Entertainment,96.4,96.4,
Golden Shamrock,Net Entertainment,96.4,96.4,
Hellcatraz,Relax Gaming,96.4,96.4,
Heroes' Gaming,Relax Gaming,96.4,96.4,
Hex,Relax Gaming,96.4,96.4,
Ho Ho Tower,Elk Studios,96.4,96.4,
