game,publisher,min_rtp,max_rtp,default_rtp
Golden Fish Tank,Yggdrasil,95.9,95.9,
Seasons (Yggdrasil),Yggdrasil,96.1,96.1,
Cazino Zeppelin,Yggdrasil,96.0,96.0,
Chibeasties,Yggdrasil,96.2,96.2,
Cyrus the Virus,Yggdrasil,96.3,96.3,
Doubles,Yggdrasil,96.0,96.0,
Draglings,Yggdrasil,96.4,96.4,
Fruitoids,Yggdrasil,96.7,96.7,
Holmes and the Stolen Stones,Yggdrasil,96.8,96.8,
Incinerator,Yggdrasil,96.1,96.1,
Joker Millions,Yggdrasil,94.3,94.3,
Jokerizer,Yggdrasil,94.22,94.22,
Magic Mushrooms (Yggdrasil),Yggdrasil,96.4,96.4,
Nirvana,Yggdrasil,96.2,96.2,
Pyrons,Yggdrasil,96.1,96.1,
Reef Run,Yggdrasil,96.4,96.5,96.4
Robotnik,Yggdrasil,96.7,96.7,
The Dark Joker Rizes,Yggdrasil,96.3,96.3,
Vikings Go Wild,Yggdrasil,96.3,96.3,
Winter Berries,Yggdrasil,96.7,96.7,
DJ WÏLD,ELK Studios,96.3,96.3,
Electric SAM,ELK Studios,96.0,96.0,
The Lab,ELK Studios,96.3,96.3,
Champion's Goal,ELK Studios,95.7,95.7,
Aloha! Cluster Pays,NetEnt,96.42,96.42,
Jimi Hendrix,NetEnt,96.9,96.9,
Fantasini: Master of Mystery,NetEnt,96.6,96.6,
Bloopers,ELK Studios,96.1,96.1,
Wicked Circus,Yggdrasil,96.5,96.5,
Family Guy,IGT,94.28,94.28,
Samba De Frutas,IGT,94.71,94.71,
Shamrockers Eire to Rock,IGT,94.2,94.2,
Sherlock Holmes The Hunt for Blackwood Slot,IGT,94.82,94.82,
Balloonies,IGT,94.33,94.33,
4 of a King,Endorphina,96.0,96.0,
Blast Boom Bang,Endorphina,96.0,96.0,
Football (Endorphina),Endorphina,96.0,96.0,
Chimney Sweep,Endorphina,96.0,96.0,
Fairy Tale,Endorphina,96.0,96.0,
Fresh Fruits (Endorphina),Endorphina,96.0,96.0,
Geisha (Endorphina),Endorphina,96.0,96.0,
Gems & Stones,Endorphina,96.0,96.0,
Gladiators (Endorphina),Endorphina,96.0,96.0,
Ice Pirates,Endorphina,96.0,96.0,
Jetsetter,Endorphina,96.0,96.0,
Macarons,Endorphina,96.0,96.0,
Minotaurus,Endorphina,96.0,96.0,
Mongol Treasures,Endorphina,96.0,96.0,
More Fresh Fruits,Endorphina,96.0,96.0,
Origami,Endorphina,96.0,96.0,
Pachamama,Endorphina,96.0,96.0,
