game,publisher,min_rtp,max_rtp,default_rtp
Forest Harmony,Spinomenal,97.4,97.4,
Power Pups Heroes,Spinomenal,97.4,97.4,
Stinky socks,Spinomenal,97.4,97.4,
Fire & Ice,Spinomenal,97.4,97.4,
Classic Fruit,1X2gaming,97.37,97.37,
Soccer Slots,1X2gaming,97.37,97.37,
Texas Tea,IGT,97.35,97.35,
Big Bad Wolf,Quickspin,97.34,97.34,
Mirror Magic,Genesis,97.34,97.34,
Lust & Fortune,Genesis,97.33,97.33,
Blood Bank,1X2gaming,97.32,97.32,
Charming Lady Luck,1X2gaming,97.32,97.32,
Dark Thirst,1X2gaming,97.32,97.32,
Gladiator of Rome,1X2gaming,97.32,97.32,
Red Dragon,1X2gaming,97.32,97.32,
Børk the Berserker Hack 'n' Slash Edition,Thunderkick,97.3,97.3,
Børk The Berzerker,Thunderkick,97.3,97.3,
Domintors Deluxe,BGaming,97.3,97.3,
Sizable Win,Tom Horn Gaming,97.3,97.3,
Alchemist's Lab,Playtech,96.4,97.3,
Fruit Zen,Betsoft,97.3,97.3,
Pirates Gold,NetEnt,97.3,97.3,
Ski Jump,Genesis,97.3,97.3,
Aquatica,Playson,97.3,97.3,
Black Gold Texas Riches,Capecod Gaming,97.3,97.3,
Wacky monsters,Spinomenal,97.3,97.3,
8 Bit Intruders,Genesis,97.28,97.28,
After Night Falls,Betsoft,97.27,97.27,
Fortune Keepers,Spinomenal,97.27,97.27,
Sultan's Fortune,Playtech,97.26,97.26,
Live Jazz,Genesis,97.26,97.26,
Night of Sevens,Genesis,97.26,97.26,
Dinosaur Adventure,Genesis,97.25,97.25,
Strip to win,Spinomenal,97.248,97.248,
Puppy Love,Betsoft,97.23,97.23,
The Great Escape Artist,Genesis,97.23,97.23,
Puppy Payday,1X2gaming,97.23,97.23,
Spartania,StakeLogic,97.22,97.22,
Golden,NextGen,97.22,97.22,
Beowulf,Quickspin,97.21,97.21,
Cai Shen's Fortune,Genesis,97.21,97.21,
Greedy Goblins,Betsoft,97.2,97.2,
John Hunter Big Game Hunter,PlayPearls,97.2,97.2,
Machine Gun Unicorn,Genesis Gaming,97.2,97.2,
Zombies,Net Entertainment,97.2,97.2,
Diamond Valley,Playtech,96.2,97.2,
Neptune's Kingdom,Playtech,95.6,97.2,
Crazy 7,Playtech,94.3,97.2,
Super Nudge 6000,NetEnt,97.2,97.2,
Zombies,NetEnt,97.2,97.2,
Red White Blue 7s,Betsoft,97.2,97.2,
Red Dog,Rival Gaming,97.2,97.2,
Penalty Shoot Out,Playtech,97.2,97.2,
Sahara Queen,Genesis,97.2,97.2,
Diner of Fortune,Spinomenal,97.2,97.2,
Greedy Servants,Spinomenal,97.2,97.2,
Iron Assassins,Spinomenal,97.2,97.2,
Piñata Bandidos,Genesis,97.19,97.19,
Man in Mask,Capecod Gaming,97.19,97.19,
Pond Of Koi,Spinomenal,97.19,97.19,
Machine Gun Unicorn,Genesis,97.18,97.18,
Shaolin Spin,iSoftBet,97.15,97.15,
Dragons Rock,Genesis,97.13,97.13,
Monster Wins,NextGen,97.122,97.122,
Golden Profits,Booming Games,2.89,97.11,97.11
A Night Out,Playtech,97.1,97.1,
Captain's Treasure,Playtech,97.1,97.1,
Demolition Squad,Net Entertainment,97.1,97.1,
